Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.0, A: 0.7506999969482422, B: 0.9884999990463257, trace: -2.3421292304992676, determinant: 0.8270494341850281, classification: stable node sink, stable: True
I: 0.0, A: 0.0, B: 0.9854999780654907, trace: -3.246675968170166, determinant: 2.617953062057495, classification: stable node sink, stable: True
I: 0.0, A: 0.39340001344680786, B: 0.9872999787330627, trace: -1.4597268104553223, determinant: -0.4305228590965271, classification: unstable saddle node, stable: False
I: 0.009999999776482582, A: 0.7516999840736389, B: 0.9884999990463257, trace: -2.3479244709014893, determinant: 0.8373491764068604, classification: stable node sink, stable: True
I: 0.009999999776482582, A: 0.0006000000284984708, B: 0.9854999780654907, trace: -3.221665859222412, determinant: 2.5807247161865234, classification: stable node sink, stable: True
I: 0.009999999776482582, A: 0.39010000228881836, B: 0.9872000217437744, trace: -1.4557504653930664, determinant: -0.4320988357067108, classification: unstable saddle node, stable: False
I: 0.019999999552965164, A: 0.7526999711990356, B: 0.9884999990463257, trace: -2.3537437915802, determinant: 0.8477004170417786, classification: stable node sink, stable: True
I: 0.019999999552965164, A: 0.0012000000569969416, B: 0.9854999780654907, trace: -3.1970808506011963, determinant: 2.5441153049468994, classification: stable node sink, stable: True
I: 0.019999999552965164, A: 0.38690000772476196, B: 0.9872000217437744, trace: -1.452897310256958, determinant: -0.43371328711509705, classification: unstable saddle node, stable: False
I: 0.029999999329447746, A: 0.7537000179290771, B: 0.9884999990463257, trace: -2.3595871925354004, determinant: 0.8581032156944275, classification: stable node sink, stable: True
I: 0.029999999329447746, A: 0.0017999999690800905, B: 0.9854999780654907, trace: -3.172910690307617, determinant: 2.5081100463867188, classification: stable node sink, stable: True
I: 0.029999999329447746, A: 0.38370001316070557, B: 0.9872000217437744, trace: -1.4500980377197266, determinant: -0.4352315664291382, classification: unstable saddle node, stable: False
I: 0.03999999910593033, A: 0.7547000050544739, B: 0.9884999990463257, trace: -2.36545467376709, determinant: 0.8685578107833862, classification: stable node sink, stable: True
I: 0.03999999910593033, A: 0.0024999999441206455, B: 0.9854999780654907, trace: -3.1451499462127686, determinant: 2.4667372703552246, classification: stable node sink, stable: True
I: 0.03999999910593033, A: 0.38040000200271606, B: 0.9872000217437744, trace: -1.4472450017929077, determinant: -0.43673619627952576, classification: unstable saddle node, stable: False
I: 0.05000000074505806, A: 0.7556999921798706, B: 0.9884999990463257, trace: -2.3713464736938477, determinant: 0.8790643215179443, classification: stable node sink, stable: True
I: 0.05000000074505806, A: 0.003100000089034438, B: 0.9854999780654907, trace: -3.1218504905700684, determinant: 2.4319992065429688, classification: stable node sink, stable: True
I: 0.05000000074505806, A: 0.37720000743865967, B: 0.9872000217437744, trace: -1.444556713104248, determinant: -0.4380582571029663, classification: unstable saddle node, stable: False
I: 0.05999999865889549, A: 0.756600022315979, B: 0.9884999990463257, trace: -2.3768091201782227, determinant: 0.8888312578201294, classification: stable node sink, stable: True
I: 0.05999999865889549, A: 0.003700000001117587, B: 0.9854999780654907, trace: -3.098939895629883, determinant: 2.3978271484375, classification: stable node sink, stable: True
I: 0.05999999865889549, A: 0.37400001287460327, B: 0.9872000217437744, trace: -1.44192373752594, determinant: -0.4392828345298767, classification: unstable saddle node, stable: False
I: 0.07000000029802322, A: 0.004399999976158142, B: 0.9854999780654907, trace: -3.07261323928833, determinant: 2.3585422039031982, classification: stable node sink, stable: True
I: 0.07000000029802322, A: 0.3707999885082245, B: 0.9872000217437744, trace: -1.4393465518951416, determinant: -0.4404093027114868, classification: unstable saddle node, stable: False
I: 0.07000000029802322, A: 0.7576000094413757, B: 0.9884999990463257, trace: -2.3827476501464844, determinant: 0.8994382619857788, classification: stable node sink, stable: True
I: 0.07999999821186066, A: 0.005100000184029341, B: 0.9854999780654907, trace: -3.0467915534973145, determinant: 2.319992780685425, classification: stable node sink, stable: True
I: 0.07999999821186066, A: 0.3675999939441681, B: 0.9872000217437744, trace: -1.4368256330490112, determinant: -0.4414372444152832, classification: unstable saddle node, stable: False
I: 0.07999999821186066, A: 0.7584999799728394, B: 0.9886000156402588, trace: -2.3892719745635986, determinant: 0.9097735285758972, classification: stable node sink, stable: True
I: 0.09000000357627869, A: 0.005799999926239252, B: 0.9854999780654907, trace: -3.0214624404907227, determinant: 2.282160520553589, classification: stable node sink, stable: True
I: 0.09000000357627869, A: 0.364300012588501, B: 0.9871000051498413, trace: -1.433312177658081, determinant: -0.44219714403152466, classification: unstable saddle node, stable: False
I: 0.09000000357627869, A: 0.7595000267028809, B: 0.9886000156402588, trace: -2.3952584266662598, determinant: 0.920488178730011, classification: stable node sink, stable: True
I: 0.10000000149011612, A: 0.006399999838322401, B: 0.9854999780654907, trace: -3.000199794769287, determinant: 2.2503883838653564, classification: stable spiral node sink, stable: True
I: 0.10000000149011612, A: 0.3610999882221222, B: 0.9871000051498413, trace: -1.4309080839157104, determinant: -0.4430219531059265, classification: unstable saddle node, stable: False
I: 0.10000000149011612, A: 0.7603999972343445, B: 0.9886000156402588, trace: -2.4008076190948486, determinant: 0.93044513463974, classification: stable node sink, stable: True
I: 0.10999999940395355, A: 0.0071000000461936, B: 0.9854999780654907, trace: -2.9757537841796875, determinant: 2.2138419151306152, classification: stable spiral node sink, stable: True
I: 0.10999999940395355, A: 0.3578999936580658, B: 0.9871000051498413, trace: -1.4285624027252197, determinant: -0.4437457323074341, classification: unstable saddle node, stable: False
I: 0.10999999940395355, A: 0.7613000273704529, B: 0.9886000156402588, trace: -2.4063775539398193, determinant: 0.9404469728469849, classification: stable node sink, stable: True
I: 0.11999999731779099, A: 0.007899999618530273, B: 0.9854999780654907, trace: -2.948310375213623, determinant: 2.1727936267852783, classification: stable node sink, stable: True
I: 0.11999999731779099, A: 0.3546999990940094, B: 0.9871000051498413, trace: -1.426275610923767, determinant: -0.444367378950119, classification: unstable saddle node, stable: False
