Removing conda
Loading conda
I: 0.0, A: 0.0, B: 0.0, trace: 1.1503527164459229, determinant: 0.32798251509666443, classification: unstable node source, stable: False
I: 0.0, A: 0.0, B: 0.9854999780654907, trace: -4.2086687088012695, determinant: 4.053160667419434, classification: stable node sink, stable: True
I: 0.009999999776482582, A: 0.00039999998989515007, B: 0.9854999780654907, trace: -4.185079097747803, determinant: 4.01822566986084, classification: stable node sink, stable: True
I: 0.019999999552965164, A: 0.0007999999797903001, B: 0.9854999780654907, trace: -4.16175651550293, determinant: 3.9836792945861816, classification: stable node sink, stable: True
I: 0.029999999329447746, A: 0.0012000000569969416, B: 0.9854999780654907, trace: -4.138696670532227, determinant: 3.9495153427124023, classification: stable node sink, stable: True
I: 0.03999999910593033, A: 0.0015999999595806003, B: 0.9854999780654907, trace: -4.115896701812744, determinant: 3.915729284286499, classification: stable node sink, stable: True
I: 0.05000000074505806, A: 0.0020000000949949026, B: 0.9854999780654907, trace: -4.093352317810059, determinant: 3.882315158843994, classification: stable node sink, stable: True
I: 0.05999999865889549, A: 0.002400000113993883, B: 0.9854999780654907, trace: -4.071058750152588, determinant: 3.849266529083252, classification: stable node sink, stable: True
I: 0.07000000029802322, A: 0.00279999990016222, B: 0.9854999780654907, trace: -4.049014568328857, determinant: 3.816580295562744, classification: stable node sink, stable: True
I: 0.07999999821186066, A: 0.0031999999191612005, B: 0.9854999780654907, trace: -4.027215003967285, determinant: 3.784250497817993, classification: stable node sink, stable: True
I: 0.09000000357627869, A: 0.003599999938160181, B: 0.9854999780654907, trace: -4.005656719207764, determinant: 3.752272605895996, classification: stable node sink, stable: True
I: 0.10000000149011612, A: 0.004000000189989805, B: 0.9854999780654907, trace: -3.9843361377716064, determinant: 3.720639944076538, classification: stable node sink, stable: True
I: 0.10999999940395355, A: 0.0044999998062849045, B: 0.9854999780654907, trace: -3.957899570465088, determinant: 3.6814067363739014, classification: stable node sink, stable: True
I: 0.11999999731779099, A: 0.004900000058114529, B: 0.9854999780654907, trace: -3.9371023178100586, determinant: 3.650536060333252, classification: stable node sink, stable: True
I: 0.12999999523162842, A: 0.0052999998442828655, B: 0.9854999780654907, trace: -3.916532039642334, determinant: 3.6199965476989746, classification: stable node sink, stable: True
I: 0.14000000059604645, A: 0.00570000009611249, B: 0.9854999780654907, trace: -3.896186351776123, determinant: 3.5897834300994873, classification: stable node sink, stable: True
I: 0.15000000596046448, A: 0.006200000178068876, B: 0.9854999780654907, trace: -3.870948314666748, determinant: 3.552295446395874, classification: stable node sink, stable: True
I: 0.1599999964237213, A: 0.006599999964237213, B: 0.9854999780654907, trace: -3.851095199584961, determinant: 3.5227999687194824, classification: stable node sink, stable: True
I: 0.17000000178813934, A: 0.0071000000461936, B: 0.9854999780654907, trace: -3.8264639377593994, determinant: 3.4861958026885986, classification: stable node sink, stable: True
I: 0.18000000715255737, A: 0.007499999832361937, B: 0.9854999780654907, trace: -3.807089328765869, determinant: 3.457397222518921, classification: stable node sink, stable: True
I: 0.1899999976158142, A: 0.00800000037997961, B: 0.9854999780654907, trace: -3.783045768737793, determinant: 3.4216487407684326, classification: stable node sink, stable: True
I: 0.20000000298023224, A: 0.00839999970048666, B: 0.9854999780654907, trace: -3.764133930206299, determinant: 3.393524408340454, classification: stable node sink, stable: True
I: 0.20999999344348907, A: 0.008899999782443047, B: 0.9854999780654907, trace: -3.7406606674194336, determinant: 3.358607053756714, classification: stable node sink, stable: True
I: 0.2199999988079071, A: 0.009399999864399433, B: 0.9854999780654907, trace: -3.717496871948242, determinant: 3.3241400718688965, classification: stable node sink, stable: True
I: 0.23000000417232513, A: 0.009800000116229057, B: 0.9854999780654907, trace: -3.6992788314819336, determinant: 3.2970263957977295, classification: stable node sink, stable: True
I: 0.23999999463558197, A: 0.010300000198185444, B: 0.9854999780654907, trace: -3.6766586303710938, determinant: 3.263352155685425, classification: stable node sink, stable: True
I: 0.25, A: 0.01080000028014183, B: 0.9854999780654907, trace: -3.65433406829834, determinant: 3.2301077842712402, classification: stable node sink, stable: True
I: 0.25999999046325684, A: 0.011300000362098217, B: 0.9854999780654907, trace: -3.6322996616363525, determinant: 3.197287082672119, classification: stable node sink, stable: True
I: 0.27000001072883606, A: 0.011800000444054604, B: 0.9854999780654907, trace: -3.6105501651763916, determinant: 3.1648812294006348, classification: stable node sink, stable: True
I: 0.2800000011920929, A: 0.012299999594688416, B: 0.9854999780654907, trace: -3.5890822410583496, determinant: 3.132885694503784, classification: stable node sink, stable: True
I: 0.28999999165534973, A: 0.012799999676644802, B: 0.9854999780654907, trace: -3.56788969039917, determinant: 3.1012918949127197, classification: stable node sink, stable: True
I: 0.30000001192092896, A: 0.013299999758601189, B: 0.9854999780654907, trace: -3.546969175338745, determinant: 3.070094347000122, classification: stable node sink, stable: True
I: 0.3100000023841858, A: 0.013799999840557575, B: 0.9854999780654907, trace: -3.5263161659240723, determinant: 3.0392868518829346, classification: stable node sink, stable: True
I: 0.3100000023841858, A: 0.013799999840557575, B: 0.9855999946594238, trace: -3.527451992034912, determinant: 3.0414459705352783, classification: stable node sink, stable: True
I: 0.3199999928474426, A: 0.014299999922513962, B: 0.9855999946594238, trace: -3.507059097290039, determinant: 3.010999917984009, classification: stable node sink, stable: True
I: 0.33000001311302185, A: 0.014800000004470348, B: 0.9855999946594238, trace: -3.4869256019592285, determinant: 2.9809322357177734, classification: stable node sink, stable: True
I: 0.3400000035762787, A: 0.015399999916553497, B: 0.9855999946594238, trace: -3.4630072116851807, determinant: 2.9451992511749268, classification: stable node sink, stable: True
I: 0.3499999940395355, A: 0.01590000092983246, B: 0.9855999946594238, trace: -3.443427562713623, determinant: 2.9159398078918457, classification: stable node sink, stable: True
I: 0.36000001430511475, A: 0.01640000008046627, B: 0.9855999946594238, trace: -3.4240949153900146, determinant: 2.887040376663208, classification: stable node sink, stable: True
I: 0.3700000047683716, A: 0.017000000923871994, B: 0.9855999946594238, trace: -3.4011197090148926, determinant: 2.8526837825775146, classification: stable node sink, stable: True
I: 0.3799999952316284, A: 0.017500000074505806, B: 0.9855999946594238, trace: -3.3823134899139404, determinant: 2.824552536010742, classification: stable node sink, stable: True
I: 0.38999998569488525, A: 0.01810000091791153, B: 0.9855999946594238, trace: -3.3599607944488525, determinant: 2.791104793548584, classification: stable node sink, stable: True
I: 0.4000000059604645, A: 0.01860000006854534, B: 0.9855999946594238, trace: -3.341663360595703, determinant: 2.763716459274292, classification: stable node sink, stable: True
I: 0.4099999964237213, A: 0.019200000911951065, B: 0.9855999946594238, trace: -3.3199105262756348, determinant: 2.7311439514160156, classification: stable node sink, stable: True
I: 0.41999998688697815, A: 0.01979999989271164, B: 0.9855999946594238, trace: -3.298476219177246, determinant: 2.6990368366241455, classification: stable node sink, stable: True
I: 0.4300000071525574, A: 0.020400000736117363, B: 0.9855999946594238, trace: -3.277355194091797, determinant: 2.667387008666992, classification: stable node sink, stable: True
I: 0.4399999976158142, A: 0.020999999716877937, B: 0.9855999946594238, trace: -3.2565419673919678, determinant: 2.636186122894287, classification: stable node sink, stable: True
I: 0.44999998807907104, A: 0.0215000007301569, B: 0.9855999946594238, trace: -3.2395057678222656, determinant: 2.6106393337249756, classification: stable node sink, stable: True
I: 0.46000000834465027, A: 0.022199999541044235, B: 0.9855999946594238, trace: -3.215813398361206, determinant: 2.575096368789673, classification: stable node sink, stable: True
I: 0.4699999988079071, A: 0.02280000038444996, B: 0.9855999946594238, trace: -3.195888042449951, determinant: 2.545192003250122, classification: stable node sink, stable: True
I: 0.47999998927116394, A: 0.023399999365210533, B: 0.9855999946594238, trace: -3.176248550415039, determinant: 2.5157060623168945, classification: stable node sink, stable: True
I: 0.49000000953674316, A: 0.024000000208616257, B: 0.9855999946594238, trace: -3.156888961791992, determinant: 2.486628293991089, classification: stable node sink, stable: True
I: 0.5, A: 0.02459999918937683, B: 0.9855999946594238, trace: -3.1378049850463867, determinant: 2.4579529762268066, classification: stable node sink, stable: True
I: 0.5099999904632568, A: 0.025299999862909317, B: 0.9855999946594238, trace: -3.1158030033111572, determinant: 2.424879312515259, classification: stable node sink, stable: True
I: 0.5199999809265137, A: 0.02590000070631504, B: 0.9855999946594238, trace: -3.0972988605499268, determinant: 2.3970513343811035, classification: stable node sink, stable: True
I: 0.5299999713897705, A: 0.026599999517202377, B: 0.9855999946594238, trace: -3.075960636138916, determinant: 2.3649470806121826, classification: stable node sink, stable: True
I: 0.5400000214576721, A: 0.0272000003606081, B: 0.9855999946594238, trace: -3.0580148696899414, determinant: 2.337935447692871, classification: stable spiral node sink, stable: True
I: 0.550000011920929, A: 0.027899999171495438, B: 0.9855999946594238, trace: -3.0373153686523438, determinant: 2.306764602661133, classification: stable spiral node sink, stable: True
I: 0.5600000023841858, A: 0.028599999845027924, B: 0.9855999946594238, trace: -3.0169496536254883, determinant: 2.2760818004608154, classification: stable spiral node sink, stable: True
