Loading conda
k_ma: 0.0, A: 0.21289999783039093, B: 0.9865000247955322, trace: -1.1109384298324585, determinant: -0.8037021160125732, classification: unstable saddle node, stable: False
k_ma: 0.009999999776482582, A: 0.218299999833107, B: 0.9865000247955322, trace: -1.1172223091125488, determinant: -0.7994623780250549, classification: unstable saddle node, stable: False
k_ma: 0.009999999776482582, A: 0.03009999915957451, B: 0.9855999946594238, trace: -2.683202028274536, determinant: 1.7727055549621582, classification: stable node sink, stable: True
k_ma: 0.019999999552965164, A: 0.22370000183582306, B: 0.9865000247955322, trace: -1.1240602731704712, determinant: -0.7943081259727478, classification: unstable saddle node, stable: False
k_ma: 0.019999999552965164, A: 0.029899999499320984, B: 0.9855999946594238, trace: -2.6991333961486816, determinant: 1.7967647314071655, classification: stable node sink, stable: True
k_ma: 0.019999999552965164, A: 0.22380000352859497, B: 0.9865000247955322, trace: -1.1239078044891357, determinant: -0.794663667678833, classification: unstable saddle node, stable: False
k_ma: 0.019999999552965164, A: 0.9861999750137329, B: 0.9891999959945679, trace: -18.833589553833008, determinant: 34.2623176574707, classification: stable node sink, stable: True
k_ma: 0.029999999329447746, A: 0.22930000722408295, B: 0.9865999817848206, trace: -1.1320817470550537, determinant: -0.7893650531768799, classification: unstable saddle node, stable: False
k_ma: 0.029999999329447746, A: 0.029600000008940697, B: 0.9855999946594238, trace: -2.7177956104278564, determinant: 1.8249531984329224, classification: stable node sink, stable: True
k_ma: 0.029999999329447746, A: 0.9790999889373779, B: 0.9891999959945679, trace: -12.997572898864746, determinant: 22.32312774658203, classification: stable node sink, stable: True
k_ma: 0.03999999910593033, A: 0.23489999771118164, B: 0.9865999817848206, trace: -1.1396896839141846, determinant: -0.7831318378448486, classification: unstable saddle node, stable: False
k_ma: 0.03999999910593033, A: 0.029400000348687172, B: 0.9855999946594238, trace: -2.733363151550293, determinant: 1.8484563827514648, classification: stable node sink, stable: True
k_ma: 0.03999999910593033, A: 0.972000002861023, B: 0.9891999959945679, trace: -10.111026763916016, determinant: 16.422565460205078, classification: stable node sink, stable: True
k_ma: 0.05000000074505806, A: 0.24060000479221344, B: 0.9865999817848206, trace: -1.1476811170578003, determinant: -0.7763574719429016, classification: unstable saddle node, stable: False
k_ma: 0.05000000074505806, A: 0.029200000688433647, B: 0.9855999946594238, trace: -2.7487545013427734, determinant: 1.871690034866333, classification: stable node sink, stable: True
k_ma: 0.05000000074505806, A: 0.9648000001907349, B: 0.9891999959945679, trace: -8.371040344238281, determinant: 12.869511604309082, classification: stable node sink, stable: True
k_ma: 0.05999999865889549, A: 0.24639999866485596, B: 0.9865999817848206, trace: -1.1560590267181396, determinant: -0.7690325379371643, classification: unstable saddle node, stable: False
k_ma: 0.05999999865889549, A: 0.028999999165534973, B: 0.9855999946594238, trace: -2.7639756202697754, determinant: 1.8946645259857178, classification: stable node sink, stable: True
k_ma: 0.05999999865889549, A: 0.9574999809265137, B: 0.9890999794006348, trace: -7.205568313598633, determinant: 10.489532470703125, classification: stable node sink, stable: True
k_ma: 0.07000000029802322, A: 0.2522999942302704, B: 0.9866999983787537, trace: -1.165772795677185, determinant: -0.7615401744842529, classification: unstable saddle node, stable: False
k_ma: 0.07000000029802322, A: 0.02879999950528145, B: 0.9855999946594238, trace: -2.7790327072143555, determinant: 1.917387843132019, classification: stable node sink, stable: True
k_ma: 0.07000000029802322, A: 0.9501000046730042, B: 0.9890999794006348, trace: -6.370896339416504, determinant: 8.791123390197754, classification: stable node sink, stable: True
k_ma: 0.07999999821186066, A: 0.2583000063896179, B: 0.9866999983787537, trace: -1.1749306917190552, determinant: -0.7530884146690369, classification: unstable saddle node, stable: False
k_ma: 0.07999999821186066, A: 0.028599999845027924, B: 0.9855999946594238, trace: -2.7939305305480957, determinant: 1.939868688583374, classification: stable node sink, stable: True
k_ma: 0.07999999821186066, A: 0.9426000118255615, B: 0.9890999794006348, trace: -5.742682456970215, determinant: 7.515334606170654, classification: stable node sink, stable: True
k_ma: 0.09000000357627869, A: 0.26440000534057617, B: 0.9866999983787537, trace: -1.1844818592071533, determinant: -0.7440631985664368, classification: unstable saddle node, stable: False
k_ma: 0.09000000357627869, A: 0.0284000001847744, B: 0.9855999946594238, trace: -2.8086767196655273, determinant: 1.962117075920105, classification: stable node sink, stable: True
k_ma: 0.09000000357627869, A: 0.9348999857902527, B: 0.9890999794006348, trace: -5.247042655944824, determinant: 6.511096477508545, classification: stable node sink, stable: True
k_ma: 0.10000000149011612, A: 0.27059999108314514, B: 0.9866999983787537, trace: -1.194427490234375, determinant: -0.734458327293396, classification: unstable saddle node, stable: False
k_ma: 0.10000000149011612, A: 0.028200000524520874, B: 0.9855999946594238, trace: -2.823275566101074, determinant: 1.9841406345367432, classification: stable node sink, stable: True
k_ma: 0.10000000149011612, A: 0.27059999108314514, B: 0.9868000149726868, trace: -1.1953747272491455, determinant: -0.7348380088806152, classification: unstable saddle node, stable: False
k_ma: 0.10000000149011612, A: 0.9272000193595886, B: 0.9890999794006348, trace: -4.854208946228027, determinant: 5.717271327972412, classification: stable node sink, stable: True
k_ma: 0.10999999940395355, A: 0.2770000100135803, B: 0.9868000149726868, trace: -1.2056756019592285, determinant: -0.7248174548149109, classification: unstable saddle node, stable: False
k_ma: 0.10999999940395355, A: 0.02800000086426735, B: 0.9855999946594238, trace: -2.8377327919006348, determinant: 2.0059478282928467, classification: stable node sink, stable: True
k_ma: 0.10999999940395355, A: 0.9193000197410583, B: 0.9890000224113464, trace: -4.526832580566406, determinant: 5.0571818351745605, classification: stable node sink, stable: True
k_ma: 0.11999999731779099, A: 0.28349998593330383, B: 0.9868000149726868, trace: -1.2163946628570557, determinant: -0.7141690850257874, classification: unstable saddle node, stable: False
k_ma: 0.11999999731779099, A: 0.027899999171495438, B: 0.9855999946594238, trace: -2.8490257263183594, determinant: 2.0229761600494385, classification: stable node sink, stable: True
k_ma: 0.11999999731779099, A: 0.911300003528595, B: 0.9890000224113464, trace: -4.254199504852295, determinant: 4.510037422180176, classification: stable node sink, stable: True
k_ma: 0.12999999523162842, A: 0.027699999511241913, B: 0.9855999946594238, trace: -2.8632023334503174, determinant: 2.0443551540374756, classification: stable node sink, stable: True
k_ma: 0.12999999523162842, A: 0.29019999504089355, B: 0.9868000149726868, trace: -1.2275116443634033, determinant: -0.7030288577079773, classification: unstable saddle node, stable: False
k_ma: 0.12999999523162842, A: 0.9031000137329102, B: 0.9890000224113464, trace: -4.020252227783203, determinant: 4.042298316955566, classification: stable spiral node sink, stable: True
k_ma: 0.14000000059604645, A: 0.027499999850988388, B: 0.9855999946594238, trace: -2.877251148223877, determinant: 2.0655388832092285, classification: stable node sink, stable: True
k_ma: 0.14000000059604645, A: 0.2971000075340271, B: 0.9868999719619751, trace: -1.240004301071167, determinant: -0.6917027235031128, classification: unstable saddle node, stable: False
k_ma: 0.14000000059604645, A: 0.8948000073432922, B: 0.9890000224113464, trace: -3.819334030151367, determinant: 3.642273187637329, classification: stable node sink, stable: True
k_ma: 0.15000000596046448, A: 0.027400000020861626, B: 0.9855999946594238, trace: -2.888120174407959, determinant: 2.081923007965088, classification: stable node sink, stable: True
k_ma: 0.15000000596046448, A: 0.30410000681877136, B: 0.9868999719619751, trace: -1.2520052194595337, determinant: -0.6793035268783569, classification: unstable saddle node, stable: False
k_ma: 0.15000000596046448, A: 0.8863000273704529, B: 0.9889000058174133, trace: -3.641784191131592, determinant: 3.2907538414001465, classification: stable node sink, stable: True
k_ma: 0.1599999964237213, A: 0.0272000003606081, B: 0.9855999946594238, trace: -2.9019157886505127, determinant: 2.1027207374572754, classification: stable node sink, stable: True
k_ma: 0.1599999964237213, A: 0.31130000948905945, B: 0.9868999719619751, trace: -1.2644697427749634, determinant: -0.6662859916687012, classification: unstable saddle node, stable: False
k_ma: 0.1599999964237213, A: 0.8776000142097473, B: 0.9889000058174133, trace: -3.4853739738464355, determinant: 2.9825007915496826, classification: stable node sink, stable: True
k_ma: 0.17000000178813934, A: 0.02710000053048134, B: 0.9855999946594238, trace: -2.9125208854675293, determinant: 2.118704319000244, classification: stable node sink, stable: True
k_ma: 0.17000000178813934, A: 0.31869998574256897, B: 0.9869999885559082, trace: -1.2783749103546143, determinant: -0.6529414057731628, classification: unstable saddle node, stable: False
k_ma: 0.17000000178813934, A: 0.8687000274658203, B: 0.9889000058174133, trace: -3.345702886581421, determinant: 2.708761215209961, classification: stable node sink, stable: True
k_ma: 0.18000000715255737, A: 0.027000000700354576, B: 0.9855999946594238, trace: -2.92299747467041, determinant: 2.134493112564087, classification: stable node sink, stable: True
k_ma: 0.18000000715255737, A: 0.3264000117778778, B: 0.9869999885559082, trace: -1.2918723821640015, determinant: -0.6385905146598816, classification: unstable saddle node, stable: False
k_ma: 0.18000000715255737, A: 0.8596000075340271, B: 0.9889000058174133, trace: -3.220118999481201, determinant: 2.4641170501708984, classification: stable node sink, stable: True
k_ma: 0.1899999976158142, A: 0.026799999177455902, B: 0.9855999946594238, trace: -2.9364359378814697, determinant: 2.1547458171844482, classification: stable node sink, stable: True
k_ma: 0.1899999976158142, A: 0.3343000113964081, B: 0.9869999885559082, trace: -1.3059266805648804, determinant: -0.6234418153762817, classification: unstable saddle node, stable: False
k_ma: 0.1899999976158142, A: 0.8501999974250793, B: 0.9887999892234802, trace: -3.10427188873291, determinant: 2.2407655715942383, classification: stable node sink, stable: True
k_ma: 0.20000000298023224, A: 0.02669999934732914, B: 0.9855999946594238, trace: -2.946671485900879, determinant: 2.170168876647949, classification: stable node sink, stable: True
k_ma: 0.20000000298023224, A: 0.3425000011920929, B: 0.9871000051498413, trace: -1.321559190750122, determinant: -0.6077977418899536, classification: unstable saddle node, stable: False
k_ma: 0.20000000298023224, A: 0.8406000137329102, B: 0.9887999892234802, trace: -2.999953269958496, determinant: 2.0404317378997803, classification: stable node sink, stable: True
k_ma: 0.20999999344348907, A: 0.026599999517202377, B: 0.9855999946594238, trace: -2.9567883014678955, determinant: 2.1854116916656494, classification: stable node sink, stable: True
k_ma: 0.20999999344348907, A: 0.35100001096725464, B: 0.9871000051498413, trace: -1.3369131088256836, determinant: -0.5909174680709839, classification: unstable saddle node, stable: False
k_ma: 0.20999999344348907, A: 0.8306000232696533, B: 0.9887999892234802, trace: -2.9027223587036133, determinant: 1.8551585674285889, classification: stable node sink, stable: True
k_ma: 0.2199999988079071, A: 0.026399999856948853, B: 0.9855999946594238, trace: -2.9699039459228516, determinant: 2.205172061920166, classification: stable spiral node sink, stable: True
k_ma: 0.2199999988079071, A: 0.3598000109195709, B: 0.9871000051498413, trace: -1.352988600730896, determinant: -0.5730363726615906, classification: unstable saddle node, stable: False
k_ma: 0.2199999988079071, A: 0.8202999830245972, B: 0.9886999726295471, trace: -2.811769485473633, determinant: 1.6843878030776978, classification: stable node sink, stable: True
k_ma: 0.23000000417232513, A: 0.02630000002682209, B: 0.9855999946594238, trace: -2.9798007011413574, determinant: 2.220080614089966, classification: stable spiral node sink, stable: True
k_ma: 0.23000000417232513, A: 0.36910000443458557, B: 0.9872000217437744, trace: -1.3709313869476318, determinant: -0.5543221235275269, classification: unstable saddle node, stable: False
k_ma: 0.23000000417232513, A: 0.8095999956130981, B: 0.9886999726295471, trace: -2.7275280952453613, determinant: 1.5267658233642578, classification: stable node sink, stable: True
k_ma: 0.23999999463558197, A: 0.026200000196695328, B: 0.9855999946594238, trace: -2.989589214324951, determinant: 2.2348246574401855, classification: stable spiral node sink, stable: True
k_ma: 0.23999999463558197, A: 0.37880000472068787, B: 0.9872000217437744, trace: -1.3888483047485352, determinant: -0.5340241193771362, classification: unstable saddle node, stable: False
k_ma: 0.23999999463558197, A: 0.7985000014305115, B: 0.9886999726295471, trace: -2.6484625339508057, determinant: 1.3803044557571411, classification: stable node sink, stable: True
k_ma: 0.25, A: 0.026100000366568565, B: 0.9855999946594238, trace: -2.9992713928222656, determinant: 2.24940824508667, classification: stable spiral node sink, stable: True
k_ma: 0.25, A: 0.3889999985694885, B: 0.9872000217437744, trace: -1.4078561067581177, determinant: -0.5122543573379517, classification: unstable saddle node, stable: False
k_ma: 0.25, A: 0.7868000268936157, B: 0.9886000156402588, trace: -2.5717499256134033, determinant: 1.2409716844558716, classification: stable node sink, stable: True
k_ma: 0.25999999046325684, A: 0.026000000536441803, B: 0.9855999946594238, trace: -3.008850574493408, determinant: 2.263835906982422, classification: stable spiral node sink, stable: True
k_ma: 0.25999999046325684, A: 0.39980000257492065, B: 0.9872999787330627, trace: -1.429112195968628, determinant: -0.48901259899139404, classification: unstable saddle node, stable: False
k_ma: 0.25999999046325684, A: 0.7745000123977661, B: 0.9886000156402588, trace: -2.499375104904175, determinant: 1.109998345375061, classification: stable node sink, stable: True
k_ma: 0.27000001072883606, A: 0.02590000070631504, B: 0.9855999946594238, trace: -3.0183305740356445, determinant: 2.2781124114990234, classification: stable spiral node sink, stable: True
k_ma: 0.27000001072883606, A: 0.4113999903202057, B: 0.9872999787330627, trace: -1.4510424137115479, determinant: -0.46335330605506897, classification: unstable saddle node, stable: False
k_ma: 0.27000001072883606, A: 0.7615000009536743, B: 0.9886000156402588, trace: -2.42965030670166, determinant: 0.9854643940925598, classification: stable node sink, stable: True
k_ma: 0.2800000011920929, A: 0.025800000876188278, B: 0.9855999946594238, trace: -3.027712821960449, determinant: 2.292241096496582, classification: stable spiral node sink, stable: True
k_ma: 0.2800000011920929, A: 0.4239000082015991, B: 0.9873999953269958, trace: -1.4758758544921875, determinant: -0.4353082478046417, classification: unstable saddle node, stable: False
k_ma: 0.2800000011920929, A: 0.7476000189781189, B: 0.9884999990463257, trace: -2.360544204711914, determinant: 0.8651436567306519, classification: stable node sink, stable: True
k_ma: 0.28999999165534973, A: 0.025699999183416367, B: 0.9855999946594238, trace: -3.0369999408721924, determinant: 2.306225538253784, classification: stable spiral node sink, stable: True
k_ma: 0.28999999165534973, A: 0.4375, B: 0.9873999953269958, trace: -1.502171516418457, determinant: -0.4037107229232788, classification: unstable saddle node, stable: False
k_ma: 0.28999999165534973, A: 0.7325999736785889, B: 0.9884999990463257, trace: -2.2933905124664307, determinant: 0.7488551735877991, classification: stable node sink, stable: True
