Loading conda
k_mb: 0.009999999776482582, A: 0.02410000003874302, B: 0.9997000098228455, trace: -79.4524917602539, determinant: 130.73028564453125, classification: stable spiral node sink, stable: True
k_mb: 0.019999999552965164, A: 0.02410000003874302, B: 0.9994000196456909, trace: -40.5601806640625, determinant: 65.32875061035156, classification: stable spiral node sink, stable: True
k_mb: 0.029999999329447746, A: 0.02410000003874302, B: 0.9991999864578247, trace: -27.769453048706055, determinant: 43.82577896118164, classification: stable spiral node sink, stable: True
k_mb: 0.03999999910593033, A: 0.02410000003874302, B: 0.9988999962806702, trace: -21.211694717407227, determinant: 32.79777526855469, classification: stable spiral node sink, stable: True
k_mb: 0.05000000074505806, A: 0.02410000003874302, B: 0.9986000061035156, trace: -17.286937713623047, determinant: 26.198097229003906, classification: stable spiral node sink, stable: True
k_mb: 0.05999999865889549, A: 0.02410000003874302, B: 0.9983000159263611, trace: -14.674433708190918, determinant: 21.805419921875, classification: stable spiral node sink, stable: True
k_mb: 0.07000000029802322, A: 0.02410000003874302, B: 0.9980000257492065, trace: -12.810214042663574, determinant: 18.671253204345703, classification: stable spiral node sink, stable: True
k_mb: 0.07999999821186066, A: 0.02410000003874302, B: 0.9977999925613403, trace: -11.438870429992676, determinant: 16.36772346496582, classification: stable spiral node sink, stable: True
k_mb: 0.09000000357627869, A: 0.02410000003874302, B: 0.9975000023841858, trace: -10.347479820251465, determinant: 14.533100128173828, classification: stable spiral node sink, stable: True
k_mb: 0.10000000149011612, A: 0.02419999986886978, B: 0.9972000122070312, trace: -9.47176456451416, determinant: 13.040694236755371, classification: stable spiral node sink, stable: True
k_mb: 0.10999999940395355, A: 0.02419999986886978, B: 0.9969000220298767, trace: -8.758413314819336, determinant: 11.8443603515625, classification: stable spiral node sink, stable: True
k_mb: 0.11999999731779099, A: 0.02419999986886978, B: 0.9965999722480774, trace: -8.164214134216309, determinant: 10.848044395446777, classification: stable spiral node sink, stable: True
k_mb: 0.12999999523162842, A: 0.02419999986886978, B: 0.9962999820709229, trace: -7.6616034507751465, determinant: 10.005481719970703, classification: stable spiral node sink, stable: True
k_mb: 0.14000000059604645, A: 0.02419999986886978, B: 0.9961000084877014, trace: -7.239956855773926, determinant: 9.299626350402832, classification: stable spiral node sink, stable: True
k_mb: 0.15000000596046448, A: 0.02419999986886978, B: 0.9958000183105469, trace: -6.865656852722168, determinant: 8.67237663269043, classification: stable spiral node sink, stable: True
k_mb: 0.1599999964237213, A: 0.02419999986886978, B: 0.9955000281333923, trace: -6.538227558135986, determinant: 8.123815536499023, classification: stable spiral node sink, stable: True
k_mb: 0.17000000178813934, A: 0.02419999986886978, B: 0.995199978351593, trace: -6.249365329742432, determinant: 7.6400065422058105, classification: stable spiral node sink, stable: True
k_mb: 0.18000000715255737, A: 0.02419999986886978, B: 0.9948999881744385, trace: -5.9926276206970215, determinant: 7.210132598876953, classification: stable spiral node sink, stable: True
k_mb: 0.18000000715255737, A: 0.024299999698996544, B: 0.9948999881744385, trace: -5.9893341064453125, determinant: 7.195743083953857, classification: stable spiral node sink, stable: True
k_mb: 0.1899999976158142, A: 0.024299999698996544, B: 0.994700014591217, trace: -5.764870643615723, determinant: 6.821288585662842, classification: stable spiral node sink, stable: True
k_mb: 0.20000000298023224, A: 0.024299999698996544, B: 0.9944000244140625, trace: -5.5576863288879395, determinant: 6.475259304046631, classification: stable spiral node sink, stable: True
k_mb: 0.20999999344348907, A: 0.024299999698996544, B: 0.9940999746322632, trace: -5.370237350463867, determinant: 6.162298679351807, classification: stable spiral node sink, stable: True
k_mb: 0.2199999988079071, A: 0.024299999698996544, B: 0.9937999844551086, trace: -5.1998291015625, determinant: 5.877896785736084, classification: stable spiral node sink, stable: True
k_mb: 0.23000000417232513, A: 0.024299999698996544, B: 0.9934999942779541, trace: -5.0442280769348145, determinant: 5.6183085441589355, classification: stable spiral node sink, stable: True
k_mb: 0.23999999463558197, A: 0.024299999698996544, B: 0.9933000206947327, trace: -4.905078887939453, determinant: 5.386587142944336, classification: stable spiral node sink, stable: True
k_mb: 0.25, A: 0.024299999698996544, B: 0.9929999709129333, trace: -4.773585796356201, determinant: 5.167369365692139, classification: stable spiral node sink, stable: True
k_mb: 0.25999999046325684, A: 0.024299999698996544, B: 0.9926999807357788, trace: -4.652193546295166, determinant: 4.9650797843933105, classification: stable spiral node sink, stable: True
k_mb: 0.27000001072883606, A: 0.024399999529123306, B: 0.9923999905586243, trace: -4.536496639251709, determinant: 4.768318176269531, classification: stable spiral node sink, stable: True
k_mb: 0.2800000011920929, A: 0.024399999529123306, B: 0.9922000169754028, trace: -4.434798240661621, determinant: 4.599572658538818, classification: stable spiral node sink, stable: True
k_mb: 0.28999999165534973, A: 0.024399999529123306, B: 0.9919000267982483, trace: -4.337413787841797, determinant: 4.4378228187561035, classification: stable spiral node sink, stable: True
k_mb: 0.30000001192092896, A: 0.024399999529123306, B: 0.991599977016449, trace: -4.246499538421631, determinant: 4.286895275115967, classification: stable spiral node sink, stable: True
k_mb: 0.3100000023841858, A: 0.024399999529123306, B: 0.9912999868392944, trace: -4.161429405212402, determinant: 4.1457438468933105, classification: stable spiral node sink, stable: True
k_mb: 0.3199999928474426, A: 0.024399999529123306, B: 0.9909999966621399, trace: -4.08165168762207, determinant: 4.01344633102417, classification: stable spiral node sink, stable: True
k_mb: 0.33000001311302185, A: 0.024399999529123306, B: 0.9908000230789185, trace: -4.008769989013672, determinant: 3.8927948474884033, classification: stable spiral node sink, stable: True
k_mb: 0.3400000035762787, A: 0.024399999529123306, B: 0.9904999732971191, trace: -3.9380903244018555, determinant: 3.7757012844085693, classification: stable spiral node sink, stable: True
k_mb: 0.3499999940395355, A: 0.024399999529123306, B: 0.9901999831199646, trace: -3.871427059173584, determinant: 3.665328025817871, classification: stable spiral node sink, stable: True
k_mb: 0.36000001430511475, A: 0.02449999935925007, B: 0.9898999929428101, trace: -3.805180549621582, determinant: 3.5540380477905273, classification: stable spiral node sink, stable: True
k_mb: 0.3700000047683716, A: 0.02449999935925007, B: 0.9896000027656555, trace: -3.7455766201019287, determinant: 3.4556705951690674, classification: stable spiral node sink, stable: True
k_mb: 0.3799999952316284, A: 0.02449999935925007, B: 0.9894000291824341, trace: -3.6907668113708496, determinant: 3.365352153778076, classification: stable spiral node sink, stable: True
k_mb: 0.38999998569488525, A: 0.02449999935925007, B: 0.9890999794006348, trace: -3.6370816230773926, determinant: 3.276855945587158, classification: stable spiral node sink, stable: True
k_mb: 0.4000000059604645, A: 0.02449999935925007, B: 0.9887999892234802, trace: -3.586056709289551, determinant: 3.1928019523620605, classification: stable spiral node sink, stable: True
k_mb: 0.4099999964237213, A: 0.02449999935925007, B: 0.9884999990463257, trace: -3.537497043609619, determinant: 3.1128652095794678, classification: stable spiral node sink, stable: True
k_mb: 0.41999998688697815, A: 0.02449999935925007, B: 0.9883000254631042, trace: -3.492678642272949, determinant: 3.0391783714294434, classification: stable spiral node sink, stable: True
k_mb: 0.4300000071525574, A: 0.02449999935925007, B: 0.9879999756813049, trace: -3.4484846591949463, determinant: 2.966522216796875, classification: stable spiral node sink, stable: True
k_mb: 0.4399999976158142, A: 0.02449999935925007, B: 0.9876999855041504, trace: -3.4062771797180176, determinant: 2.897184133529663, classification: stable spiral node sink, stable: True
k_mb: 0.44999998807907104, A: 0.02459999918937683, B: 0.9873999953269958, trace: -3.3626761436462402, determinant: 2.8253328800201416, classification: stable spiral node sink, stable: True
k_mb: 0.46000000834465027, A: 0.02459999918937683, B: 0.9871000051498413, trace: -3.3240532875061035, determinant: 2.7621066570281982, classification: stable spiral node sink, stable: True
k_mb: 0.4699999988079071, A: 0.02459999918937683, B: 0.9868999719619751, trace: -3.2882909774780273, determinant: 2.703608989715576, classification: stable node sink, stable: True
k_mb: 0.47999998927116394, A: 0.02459999918937683, B: 0.9865999817848206, trace: -3.2527718544006348, determinant: 2.645548105239868, classification: stable node sink, stable: True
k_mb: 0.49000000953674316, A: 0.02459999918937683, B: 0.986299991607666, trace: -3.218679189682007, determinant: 2.5898656845092773, classification: stable spiral node sink, stable: True
k_mb: 0.5, A: 0.02459999918937683, B: 0.9860000014305115, trace: -3.1859283447265625, determinant: 2.53641939163208, classification: stable spiral node sink, stable: True
k_mb: 0.5099999904632568, A: 0.02459999918937683, B: 0.98580002784729, trace: -3.1555519104003906, determinant: 2.486865282058716, classification: stable spiral node sink, stable: True
k_mb: 0.5199999809265137, A: 0.02459999918937683, B: 0.9854999780654907, trace: -3.125223159790039, determinant: 2.437450885772705, classification: stable spiral node sink, stable: True
k_mb: 0.5299999713897705, A: 0.024700000882148743, B: 0.9851999878883362, trace: -3.0927863121032715, determinant: 2.3851864337921143, classification: stable spiral node sink, stable: True
k_mb: 0.5400000214576721, A: 0.024700000882148743, B: 0.9848999977111816, trace: -3.0646424293518066, determinant: 2.3395040035247803, classification: stable spiral node sink, stable: True
k_mb: 0.550000011920929, A: 0.024700000882148743, B: 0.9847000241279602, trace: -3.0385093688964844, determinant: 2.2970786094665527, classification: stable spiral node sink, stable: True
k_mb: 0.5600000023841858, A: 0.024700000882148743, B: 0.9843999743461609, trace: -3.0122926235198975, determinant: 2.2545974254608154, classification: stable spiral node sink, stable: True
k_mb: 0.5699999928474426, A: 0.024700000882148743, B: 0.9840999841690063, trace: -2.986975908279419, determinant: 2.213613986968994, classification: stable spiral node sink, stable: True
k_mb: 0.5799999833106995, A: 0.024700000882148743, B: 0.9837999939918518, trace: -2.9625117778778076, determinant: 2.1740493774414062, classification: stable spiral node sink, stable: True
k_mb: 0.5899999737739563, A: 0.024700000882148743, B: 0.9836000204086304, trace: -2.9397811889648438, determinant: 2.1372594833374023, classification: stable spiral node sink, stable: True
k_mb: 0.6000000238418579, A: 0.024700000882148743, B: 0.983299970626831, trace: -2.916874885559082, determinant: 2.100282669067383, classification: stable spiral node sink, stable: True
k_mb: 0.6100000143051147, A: 0.024700000882148743, B: 0.9829999804496765, trace: -2.894700765609741, determinant: 2.0645244121551514, classification: stable spiral node sink, stable: True
k_mb: 0.6200000047683716, A: 0.024800000712275505, B: 0.982699990272522, trace: -2.870007038116455, determinant: 2.025923490524292, classification: stable spiral node sink, stable: True
k_mb: 0.6299999952316284, A: 0.024800000712275505, B: 0.9824000000953674, trace: -2.8491923809051514, determinant: 1.9924931526184082, classification: stable spiral node sink, stable: True
k_mb: 0.6399999856948853, A: 0.024800000712275505, B: 0.982200026512146, trace: -2.8298473358154297, determinant: 1.9613728523254395, classification: stable spiral node sink, stable: True
k_mb: 0.6499999761581421, A: 0.024800000712275505, B: 0.9818999767303467, trace: -2.810251235961914, determinant: 1.9299622774124146, classification: stable spiral node sink, stable: True
k_mb: 0.6600000262260437, A: 0.024800000712275505, B: 0.9815999865531921, trace: -2.7912304401397705, determinant: 1.8995074033737183, classification: stable spiral node sink, stable: True
k_mb: 0.6700000166893005, A: 0.024800000712275505, B: 0.9812999963760376, trace: -2.772759437561035, determinant: 1.8699657917022705, classification: stable spiral node sink, stable: True
k_mb: 0.6800000071525574, A: 0.024800000712275505, B: 0.9811000227928162, trace: -2.7555952072143555, determinant: 1.8424489498138428, classification: stable spiral node sink, stable: True
k_mb: 0.6899999976158142, A: 0.024800000712275505, B: 0.9807999730110168, trace: -2.738138198852539, determinant: 1.8145884275436401, classification: stable spiral node sink, stable: True
k_mb: 0.699999988079071, A: 0.024800000712275505, B: 0.9804999828338623, trace: -2.721162796020508, determinant: 1.7875279188156128, classification: stable spiral node sink, stable: True
k_mb: 0.7099999785423279, A: 0.024900000542402267, B: 0.9801999926567078, trace: -2.7014472484588623, determinant: 1.757768988609314, classification: stable spiral node sink, stable: True
k_mb: 0.7200000286102295, A: 0.024900000542402267, B: 0.9800000190734863, trace: -2.686108112335205, determinant: 1.7333154678344727, classification: stable spiral node sink, stable: True
k_mb: 0.7300000190734863, A: 0.024900000542402267, B: 0.9797000288963318, trace: -2.6704483032226562, determinant: 1.70848548412323, classification: stable spiral node sink, stable: True
k_mb: 0.7400000095367432, A: 0.024900000542402267, B: 0.9793999791145325, trace: -2.6551942825317383, determinant: 1.684328556060791, classification: stable spiral node sink, stable: True
k_mb: 0.75, A: 0.024900000542402267, B: 0.9790999889373779, trace: -2.6403307914733887, determinant: 1.6608192920684814, classification: stable spiral node sink, stable: True
k_mb: 0.7599999904632568, A: 0.024900000542402267, B: 0.9789000153541565, trace: -2.6265339851379395, determinant: 1.6389076709747314, classification: stable spiral node sink, stable: True
k_mb: 0.7699999809265137, A: 0.024900000542402267, B: 0.978600025177002, trace: -2.612395763397217, determinant: 1.6165980100631714, classification: stable spiral node sink, stable: True
k_mb: 0.7799999713897705, A: 0.024900000542402267, B: 0.9782999753952026, trace: -2.5986032485961914, determinant: 1.5948617458343506, classification: stable spiral node sink, stable: True
k_mb: 0.7900000214576721, A: 0.02500000037252903, B: 0.9781000018119812, trace: -2.582622766494751, determinant: 1.571513056755066, classification: stable spiral node sink, stable: True
k_mb: 0.800000011920929, A: 0.02500000037252903, B: 0.9778000116348267, trace: -2.5694773197174072, determinant: 1.550886869430542, classification: stable spiral node sink, stable: True
k_mb: 0.8100000023841858, A: 0.02500000037252903, B: 0.9775000214576721, trace: -2.556640386581421, determinant: 1.5307717323303223, classification: stable spiral node sink, stable: True
k_mb: 0.8199999928474426, A: 0.02500000037252903, B: 0.9771999716758728, trace: -2.544100522994995, determinant: 1.511148452758789, classification: stable spiral node sink, stable: True
k_mb: 0.8299999833106995, A: 0.02500000037252903, B: 0.9769999980926514, trace: -2.5324809551239014, determinant: 1.4928598403930664, classification: stable spiral node sink, stable: True
k_mb: 0.8399999737739563, A: 0.02500000037252903, B: 0.9767000079154968, trace: -2.5204975605010986, determinant: 1.4741551876068115, classification: stable spiral node sink, stable: True
k_mb: 0.8500000238418579, A: 0.02500000037252903, B: 0.9764000177383423, trace: -2.5087809562683105, determinant: 1.455892562866211, classification: stable spiral node sink, stable: True
k_mb: 0.8600000143051147, A: 0.02500000037252903, B: 0.9761000275611877, trace: -2.4973223209381104, determinant: 1.438056468963623, classification: stable spiral node sink, stable: True
k_mb: 0.8700000047683716, A: 0.02500000037252903, B: 0.9758999943733215, trace: -2.4867167472839355, determinant: 1.421434998512268, classification: stable spiral node sink, stable: True
k_mb: 0.8799999952316284, A: 0.025100000202655792, B: 0.975600004196167, trace: -2.472568988800049, determinant: 1.401646614074707, classification: stable spiral node sink, stable: True
k_mb: 0.8899999856948853, A: 0.025100000202655792, B: 0.9753000140190125, trace: -2.4618260860443115, determinant: 1.3850250244140625, classification: stable spiral node sink, stable: True
k_mb: 0.8999999761581421, A: 0.025100000202655792, B: 0.9750000238418579, trace: -2.4513070583343506, determinant: 1.3687738180160522, classification: stable spiral node sink, stable: True
k_mb: 0.9100000262260437, A: 0.025100000202655792, B: 0.9747999906539917, trace: -2.441584348678589, determinant: 1.3536332845687866, classification: stable spiral node sink, stable: True
k_mb: 0.9200000166893005, A: 0.025100000202655792, B: 0.9745000004768372, trace: -2.4314870834350586, determinant: 1.3380767107009888, classification: stable spiral node sink, stable: True
k_mb: 0.9300000071525574, A: 0.025100000202655792, B: 0.9742000102996826, trace: -2.4215927124023438, determinant: 1.3228559494018555, classification: stable spiral node sink, stable: True
k_mb: 0.9399999976158142, A: 0.025100000202655792, B: 0.9739999771118164, trace: -2.4124574661254883, determinant: 1.308678388595581, classification: stable spiral node sink, stable: True
k_mb: 0.949999988079071, A: 0.025100000202655792, B: 0.9736999869346619, trace: -2.4029457569122314, determinant: 1.2940876483917236, classification: stable spiral node sink, stable: True
k_mb: 0.9599999785423279, A: 0.025200000032782555, B: 0.9733999967575073, trace: -2.390460968017578, determinant: 1.2773017883300781, classification: stable spiral node sink, stable: True
k_mb: 0.9700000286102295, A: 0.025200000032782555, B: 0.9731000065803528, trace: -2.3813133239746094, determinant: 1.2633395195007324, classification: stable spiral node sink, stable: True
k_mb: 0.9800000190734863, A: 0.025200000032782555, B: 0.9728999733924866, trace: -2.372880697250366, determinant: 1.2503396272659302, classification: stable spiral node sink, stable: True
k_mb: 0.9900000095367432, A: 0.025200000032782555, B: 0.972599983215332, trace: -2.364070415496826, determinant: 1.2369319200515747, classification: stable spiral node sink, stable: True
